FormFieldMenuID,MenuLabel,Type,Reference,Description,Order,Icon
MenuFindBookingID,Document Bookings By Document,FORM,booking-ids-by-docid-form,Select document booking transactions for a given document.,1,
MenuFindBookingID,Document Bookings By User,FORM,bookings-by-user-form,Select document booking transactions for a given user.,2,
MenuFindBookingID,Document Bookings By Date,FORM,booking-ids-by-date-form,Select document booking transactions by date.,3,
MenuFindBookingID,All Document Bookings,TABLE,all-user-booking-ids,Select all document booking transactions. ,4,
MenuFindDocID,Docs With Edit Permission,TABLE,all-docs-with-ed-perm,List all documents that the connected user has edit rights for.,1,
MenuFindDocID,Document ID Contains (filtered),FORM,list-docid-contains,Document ID contains,2,
MenuFindDocID,Document ID Contains (unfiltered),FORM,all-doc-id-contains-form,Document ID contains,3,
MenuFindDocID,Document Title Contains,FORM,list-doc-title-contains,Document Title Contains,4,
MenuFindDocID,Docs by Doc Group,FORM,read-all-docs-by-doc-group,List documents for a given document group.,5,
MenuFindDocID,Recently Created Document IDs,TABLE,recent-documents,Recently created document IDs,7,
MenuFindDocID,All Documents,FORM,all-documents-form,List all documents.,9,
MenuFindDocRBAttrID,Doc Radio Button Attribute by List,FORM,list-doc-radio-buttons-by-list,List document radio buttons by list,1,
MenuFindFileRBAttrID,File Radio Button Attribute by List,FORM,file-radiob-attr-by-list-form,List file radio buttons by list,1,
MenuFindFileID,Files With Edit Permission,TABLE,all-files-with-ed-perm,Files for which the connected user has edit permission.,1,
MenuFindFileID,Search by Filename (filtered),FORM,filtered-filename-contains,File ID by filename search.  Filtered list.,2,
MenuFindFileID,Search by File Content,FORM,file-contains-search,File ID by content search,3,
MenuFindFileID,Direct Entry File ID,FORM,sel-one-file-data-form-direct-passthrough,File ID by direct entry,4,
MenuFindFileID,Search by Filename (unfiltered),FORM,list-filename-contains,File ID by filename search.  Uniltered list.,5,
MenuFindFileMSAttID,File MS Attribute ID by List,FORM,file-ms-attr-by-list-form,List file multi-select attributes by file multi-select list.,1,
MenuFindInstanceID,All Workflow Instances,TABLE,workflow-instance-defs,Lists workflow definitions,1,
MenuFindInstanceID,Workflow Instance Definitions for Document,FORM,wf-inst-def-by-doc-form,Selects workflow instance definitions for a given document,2,
MenuFindInstanceID,Workflow Instance Steps by Duty Function,FORM,wf-steps-by-duty-funct-form,Selects workflow instance steps by duty function,3,
MenuFindInstanceID,Workflow Steps by User,FORM,wf-steps-by-person-form,Selects workflow instance steps by user,4,
MenuFindInstanceID,Workflow Instance Direct Entry,FORM,workflow-instance-id-direct-form,Directly enter a workflow instance ID,5,
MenuFindInstanceStepID,Workflow Instance Steps by Instance,FORM,wf-inst-steps-by-inst-form,Lists workflow instance steps for a given workflow instance,1,
MenuFindInstanceStepID,Workflow Instance Steps by Duty Function,FORM,wf-steps-by-duty-funct-form,Selects workflow instance steps by duty function,2,
MenuFindInstanceStepID,Workflow Steps by User,FORM,wf-steps-by-person-form,Selects workflow instance steps by user,3,
MenuFindInstanceStepID,Workflow Instance Step Direct Entry,FORM,workflow-instance-step-id-direct-form,Directly enter the workflow instance step ID.,4,
MenuFindPeopleListID,People Lists for Connected User,FORM,people-lists-for-connected-user-form,People lists for the connected user.,1,
MenuFindPeopleListID,Non-Personal People Lists,FORM,non-pers-pple-lst-nms-form,People lists which are not personal people lists.,2,
MenuFindPeopleListID,All People List Names,FORM,all-people-list-names-form,All people list names.  Only available to Controller role.,3,
MenuFindPresentStepID,Workflow Instance by Doc,FORM,wf-inst-def-by-doc-form,Returns all of the workflow instance definitions and associated workflow model details for a given document ID.,1,
MenuFindPresentStepID,Workflow Steps by Duty Function,FORM,wf-steps-by-duty-funct-form,Outputs all workflow instance steps and associated data linked to workflow instances for a given function ID.,3,
MenuFindPresentStepID,Present Step ID Direct,FORM,present-step-id-direct-form,Directly enter the workflow present step ID.,3,
MenuFindPresentStepID,Workflow Steps by Person,FORM,wf-steps-by-person-form,Outputs workflow steps and associated data for a given User ID.,5,
MenuFindPresentStepID,Workflow Definition by model,FORM,wf-inst-def-by-model-form,Returns all of the workflow instance definitions and associated workflow model details for a given model ID.,6,
MenuFindPresentStepID,Workflow Function Output Files,TABLE,wf-funct-output-files,Selects file IDs and related data where files are linked to workflow steps.,7,
MenuFindPresentStepID,Workflow Input Step Files,TABLE,wf-input-step-files,Lists all workflow instance input files.,8,
MenuFindPresentStepID,Workflow Step Duty Functions,TABLE,wf-step-duty-functs,Outputs all duty functions and associated data linked to workflow instances.,9,
MenuFindPresentStepID,Workflow Instance Definitions,TABLE,workflow-instance-defs,Returns all of the workflow instance definitions and associated workflow model details.,10,
MenuFindPresentStepID,Track Log by ID,FORM,wf-track-log-by-id-form,Retrieves track log records for a given track log record ID.,14,
MenuFindPresentStepID,Track Log Index by Doc,FORM,wf-tr-log-index-by-doc-form,Retrieves track log index records for a given document ID.,15,
MenuFindStepStatusID,Workflow Step Status Definitions,TABLE,wf-step-status-defs,Selects all workflow step status definition name records,1,
MenuFindStepStatusID,Workflow Steps by Person,TABLE,wf-steps-by-person,Outputs workflow steps and associated data for a given User ID.,2,
MenuFindStepStatusID,Workflow Function Output Files,TABLE,wf-funct-output-files,Selects file IDs and related data where files are linked to workflow steps.,3,
MenuFindStepStatusID,Workflow Input Step Files,TABLE,wf-input-step-files,Lists all workflow instance input files.,4,
MenuFindStepStatusID,Workflow People Output Files,TABLE,wf-people-output-files,Select output files linked to steps via individuals.,5,
MenuFindStepStatusID,Workflow Step Duty Functions,TABLE,wf-step-duty-functs,Outputs all duty functions and associated data linked to workflow instances.,6,
MenuFindStepStatusID,Workflow Steps by Duty Function,TABLE,wf-steps-by-duty-funct,Outputs all workflow instance steps and associated data linked to workflow instances for a given function ID.,7,
MenuFindStepTransitionID,Steps for Workflow,FORM,wf-inst-steps-by-inst-form,Returns data for all instance steps for a given workflow instance ID.,1,
MenuFindStepTransitionID,Workflow Steps by Model Name,FORM,wf-steps-by-model-name-form,Selects all workflow step status definition name records,2,
MenuFindStepTransitionID,Workflow Step Transition ID,FORM,step-transition-id-direct-form,Directly enter workflow model step transition ID,3,
MenuFindTagBTreeID,Tag Browsing Trees With Edit Permission,TABLE,brsng-trees-wth-ed-prm,Tag browsing trees for which the connected user has edit permission.,1,
MenuFindTagBTreeID,All Tag Browsing Trees,TABLE,browsing-tree-names,All tag browsing trees.,2,
MenuFindTagGroupID,Tag Groups With Edit Permission,TABLE,tag-groups-with-ed-perm,Tag groups for which the connected user has edit permission.,1,
MenuFindTagGroupID,All Tag Groups,TABLE,all-tag-group-id-names,All tag groups.,2,
MenuFindTagID,Tag Contains,FORM,tags-by-string-form,List tags containing string,1,
MenuFindTagID,Tag by Tree,FORM,tag-tree-by-tree-id-form,List all tags for a given tag tree,2,
MenuFindTagID,All Tags,TABLE,all-tags,List all tags,3,
MenuFindTagID,Tags by Doc,FORM,tags-by-doc-form,List tags by document,4,
MenuFindTagID,Tags by Tag Group,FORM,tags-by-tag-group-form,List tags by tag group,5,
MenuFindTagID,Editable Tags,TABLE,tags-with-ed-perm,List tags which the connected user may edit,6,
MenuFindTagRTreeID,Tag Relationship Trees With Edit Permission,TABLE,tag-trees-with-ed-perm,Tag relationship trees for the connected user has edit permission. ,1,
MenuFindTagRTreeID,All Tag Relationship Trees,TABLE,all-tag-tree-names,All tag relationship trees.,2,
MenuFindTransactionGroupID,Transaction Group Contains,FORM,tr-group-contains-form,Search transaction groups by transaction group note contains.,1,
MenuFindTransactionGroupID,All Transaction Groups,TABLE,all-transaction-groups,Lists all transaction groups,2,
MenuFindTransactionGroupID,Transaction Group by ID,FORM,transaction-group-direct-form,Find transaction group by ID,3,
MenuFindUserID,Username Contains,FORM,list-users-contains,Search user by name,1,
MenuFindUserID,Users by Role,FORM,list-users-by-roles,List users by role,2,
MenuFindUserID,All Users,TABLE,all-users,List all users,3,
MenuFindUserID,Recently Added Users,TABLE,all-recent-sids,Recently added users,4,
MenuFindUserID,Users by Duty Function,FORM,sids-by-duty-function-form,Users by duty function,5,
MenuFindUserID,Users by People List,FORM,persons-by-people-list-form,Users by people list,6,
MenuFindUserID,Controller Document Group Users,FORM,contr-doc-group-sids-form,Controller document group users,7,
MenuFindUserID,Controller File Group Users,FORM,contr-file-group-sids-form,Controller file group users,8,
MenuFindUserIDByPeopleList,Users by People List,FORM,persons-by-people-list-form,Users by people list,1,
MenuFindWFModelStepID,Model Step by Model,FORM,wf-steps-by-model-name-form,Select workflow model step from a model .,1,
MenuFindWFModelStepID,Model Step Direct,FORM,workflow-model-step-direct,Directly enter workflow model step ID,2,
